id,text,parent
A,Alimentary tract and metabolism,
A02,Drugs for acid related disorders,
A02B,Drugs for treatment of peptic ulcer,
A02BC,Proton pump inhibitors,
A02BC01,Omeprazole,
A02BC02,Pantoprazole,
A02BC03,Lansoprazole,
A03,Drugs for functional gastrointestinal disorders,
A03A,Drugs for functional bowel disorders,
A03AE,Drugs acting on serotonin receptors,
A03AE02,Tegaserod,
A03AE04,Prucalopride,
A03F,Propulsives,
A03FA,Propulsives,
A03FA02,Cisapride,
A03FA03,Domperidone,
A04,Antiemetics and antinauseants,
A04A,Antiemetics and antinauseants,
A04AA,Serotonin (5HT3) antagonists,
A04AA02,Granisetron,
A04AA05,Palonosetron,
A04AD,Other antiemetics,
A04AD12,Aprepitant,
A05,Bile and liver therapy,
A05A,Bile therapy,
A05AA,Bile acid preparations,
A05AA03,Cholic acid,
A06,Laxatives,
A06A,Laxatives,
A06AH,Peripheral opioid receptor antagonists,
A06AH01,Methylnaltrexone bromide,
A07,Antidiarrheals,
A07A,Intestinal antiinfectives,
A07AA,Antibiotics,
A07AA12,Fidaxomicin,
A08,Antiobesity preparations,
A08A,Antiobesity preparations,
A08AA,Centrally acting antiobesity products,
A08AA01,Phentermine,
A08AA02,Fenfluramine,
A08AA03,Amfepramone,
A08AA04,Dexfenfluramine,
A08AA05,Mazindol,
A08AA08,Clobenzorex,
A08AA09,Mefenorex,
A08AA10,Sibutramine,
A08AB,Peripherally acting antiobesity products,
A08AB01,Orlistat,
A08AX,Other antiobesity drugs,
A08AX01,Rimonabant,
A10,Drugs used in diabetes,
A10A,Insulins and analogues,
A10AB,Insulins and analogues for injection,
A10AB01,Insulin (human),
A10AB04,Insulin lispro,
A10AB05,Insulin aspart,
A10AB06,Insulin glulisine,
A10AC,Insulins and analogues for injection,
A10AC01,Insulin (human),
A10AD,Insulins and analogues for injection,
A10AD01,Insulin (human),
A10AD05,Insulin aspart,
A10AE,Insulins and analogues for injection,
A10AE04,Insulin glargine,
A10AE05,Insulin detemir,
A10AF,Insulins and analogues,
A10AF01,Insulin (human),
A10B,Blood glucose lowering drugs,
A10BA,Biguanides,
A10BA02,Metformin,
A10BB,Sulfonamides,
A10BB12,Glimepiride,
A10BD,Combinations of oral blood glucose lowering drugs,
A10BD03,Metformin and rosiglitazone,
A10BD04,Glimepiride and rosiglitazone,
A10BD05,Metformin and pioglitazone,
A10BD06,Glimepiride and pioglitazone,
A10BD07,Metformin and sitagliptin,
A10BD08,Metformin and vildagliptin,
A10BD11,Metformin and linagliptin,
A10BG,Thiazolidinediones,
A10BG02,Rosiglitazone,
A10BG03,Pioglitazone,
A10BH,Dipeptidyl peptidase 4 (dpp-4) inhibitors,
A10BH01,Sitagliptin,
A10BH02,Vildagliptin,
A10BH03,Saxagliptin,
A10BH05,Linagliptin,
A10BX,Other oral blood glucose lowering drugs,
A10BX02,Repaglinide,
A10BX03,Nateglinide,
A10BX04,Exenatide,
A10BX06,Benfluorex,
A10BX07,Liraglutide,
A11,Vitamins,
A11H,Other plain vitamin preparations,
A11HA,Other plain vitamin preparations,
A11HA08,Tocofersolan,
A16,Other alimentary tract and metabolism products,
A16A,Other alimentary tract and metabolism products,
A16AA,Amino acids and derivatives,
A16AA04,Mercaptamine,
A16AA05,Carglumic acid,
A16AA06,Betaine,
A16AB,Enzymes,
A16AB02,Imiglucerase,
A16AB03,Agalsidase alfa,
A16AB04,Agalsidase beta,
A16AB05,Laronidase,
A16AB07,Alglucosidase alfa,
A16AB08,Galsulfase,
A16AB09,Idursulfase,
A16AB10,Velaglucerase alfa,
A16AX,Various alimentary tract and metabolism products,
A16AX03,Sodium phenylbutyrate,
A16AX04,Nitisinone,
A16AX05,Zinc acetate,
A16AX06,Miglustat,
A16AX07,Sapropterin,
A16AX08,Teduglutide,
B,Blood and blood forming organs,
B01,Antithrombotic agents,
B01A,Antithrombotic agents,
B01AA03, Warfarin,
B01AB,Heparin group,
B01AB02,Antithrombin,
B01AC,Platelet aggregation inhibitors excluding Heparin,
B01AC04,Clopidogrel,
B01AC06, Acetylsalicylic acid,
B01AC09,Epoprostenol,
B01AC11,Iloprost,
B01AC16,Eptifibatide,
B01AC17,Tirofiban,
B01AC22,Prasugrel,
B01AC24,Ticagrelor,
B01AC30,Combinations,
B01AD,Enzymes,
B01AD02,Alteplase,
B01AD07,Reteplase,
B01AD08,Saruplase,
B01AD10,Drotrecogin alfa (activated),
B01AD11,Tenecteplase,
B01AD12,Protein C,
B01AE,Direct thrombin inhibitors,
B01AE01,Desirudin,
B01AE02,Lepirudin,
B01AE06,Bivalirudin,
B01AE07,Dabigatran etexilate,
B01AX,Other antithrombotic agents,
B01AX05,Fondaparinux,
B01AX06,Rivaroxaban,
B02,Antihemorrhagics,
B02A,Antifibrinolytics,
B02AA,Amino acids,
B02AA02,Tranexamic acid,
B02AB,Proteinase inhibitors,
B02AB01,Aprotinin,
B02B,Vitamin K and other hemostatics,
B02BC,Local hemostatics,
B02BC30,Combinations,
B02BD,Blood coagulation factors,
B02BD02,Coagulation factor VIII,
B02BD04,Coagulation factor IX,
B02BD05,Coagulation factor VII,
B02BD11,Catridecacog,
B02BX,Other systemic hemostatics,
B02BX04,Romiplostim,
B02BX05,Eltrombopag,
B03,Antianemic preparations,
B03X,Other antianemic preparations,
B03XA,Other antianemic preparations,
B03XA01,Erythropoietin,
B03XA02,Darbepoetin alfa,
B03XA03,Methoxy polyethylene glycol-epoetin beta,
B06,Other hematological agents,
B06A,Other hematological agents,
B06AC,Drugs used in hereditary angioedema,
B06AC01,C1-inhibitor,
C,Cardiovascular system,
C01,Cardiac therapy,
C01B,Antiarrhythmics,
C01BD,Antiarrhythmics,
C01BD04,Dofetilide,
C01BD07,Dronedarone,
C01E,Other cardiac preparations,
C01EB,Other cardiac preparations,
C01EB16,Ibuprofen,
C01EB17,Ivabradine,
C01EB18,Ranolazine,
C01EB19,Icatibant,
C01EB21,Regadenoson,
C02,Antihypertensives,
C02C,Antiadrenergic agents,
C02CA,Alpha-adrenoceptor blocking agents,
C02CA04,Doxazosin,
C02K,Other antihypertensives,
C02KX,Other antihypertensives,
C02KX01,Bosentan,
C02KX02,Ambrisentan,
C02KX03,Sitaxentan,
C03,Diuretics,
C03X,Other diuretics,
C03XA,Vasopressin antagonists,
C03XA01,Tolvaptan,
C04,Peripheral vasodilators,
C04A,Peripheral vasodilators,
C04AX,Other peripheral vasodilators,
C04AX21,Naftidrofuryl,
C07,Beta blocking agents,
C07A,Beta blocking agents,
C07AB,Beta blocking agents,
C07AB52,Metoprolol,
C08,Calcium channel blockers,
C08C,Selective calcium channel blockers with mainly vascular effects,
C08CA,Dihydropyridine derivatives,
C08CA01,Amlodipine,
C08CA02,Felodipine,
C08CA05,Nifedipine,
C09,Agents acting on the renin-angiotensin system,
C09A,ACE inhibitors,
C09AA,ACE inhibitors,
C09AA01,Captopril,
C09AA02,Enalapril,
C09AA03,Lisinopril,
C09AA04,Perindopril,
C09AA05,Ramipril,
C09AA08,Cilazapril,
C09AA15,Zofenopril,
C09B,ACE inhibitors,
C09BA,ACE inhibitors and diuretics,
C09BA08,Cilazapril and diuretics,
C09BB,ACE inhibitors and calcium channel blockers,
C09BB03,Lisinopril and amlodipine,
C09C,Angiotensin II antagonists,
C09CA,Angiotensin II antagonists,
C09CA01,Losartan,
C09CA03,Valsartan,
C09CA04,Irbesartan,
C09CA07,Telmisartan,
C09CA09,Azilsartan medoxomil,
C09D,Angiotensin II antagonists,
C09DA,Angiotensin II antagonists and diuretics,
C09DA04,Irbesartan and diuretics,
C09DA06,Candesartan and diuretics,
C09DA07,Telmisartan and diuretics,
C09DB,Angiotensin II antagonists and calcium channel blockers,
C09DB01,Valsartan and amlodipine,
C09DB04,Telmisartan and amlodipine,
C09DX,Angiotensin II antagonists,
C09DX01,Valsartan,
C09X,Other agents acting on the renin-angiotensin system,
C09XA,Renin-inhibitors,
C09XA02,Aliskiren,
C09XA52,Aliskiren and hydrochlorothiazide,
C09XA53,Aliskiren and amlodipine,
C09XA54,Aliskiren,
C10,Lipid modifying agents,
C10A,Lipid modifying agents,
C10AA,Hmg coa reductase inhibitors,
C10AA01,Simvastatin,
C10AA03,Pravastatin,
C10AA04,Fluvastatin,
C10AA05,Atorvastatin,
C10AA06,Cerivastatin,
C10AA07,Rosuvastatin,
C10AB,Fibrates,
C10AB04,Gemfibrozil,
C10AC,Bile acid sequestrants,
C10AC04,Colesevelam,
C10AD,Nicotinic acid and derivatives,
C10AD52,Nicotinic acid,
C10AX,Other lipid modifying agents,
C10B,Lipid modifying agents,
C10BA,HMG CoA reductase inhibitors in combination with other lipid modifying agents,
C10BA03,Pravastatin and fenofibrate,
D,Dermatologicals,
D01,Antifungals for dermatological use,
D01A,Antifungals for topical use,
D01AC,Imidazole derivatives,
D01AC15,Fluconazole,
D03,Preparations for treatment of wounds & ulcers,
D03A,Cicatrizants,
D03AX,Other cicatrizants,
D03AX06,Becaplermin,
D05,Antipsoriatics,
D05A,Antipsoriatics for topical use,
D05AX,Other antipsoriatics for topical use,
D05AX52,Calcipotriol,
D06,Antibiotics and chemotherapeutics for dermatological use,
D06A,Antibiotics for topical use,
D06AX,Other antibiotics for topical use,
D06AX13,Retapamulin,
D06B,Chemotherapeutics for topical use,
D06BB,Antivirals,
D06BB10,Imiquimod,
D10,Anti-acne preparations,
D10A,Anti-acne preparations for topical use,
D10AD,Retinoids for topical use in acne,
D10AD04,Isotretinoin,
D11,Other dermatological preparations,
D11A,Other dermatological preparations,
D11AH,Agents for atopic dermatitis,
D11AH01,Tacrolimus,
D11AH02,Pimecrolimus,
D11AX,Other dermatologicals,
D11AX16,Eflornithine,
G,Genito urinary system and sex hormones,
G02,Other gynecologicals,
G02C,Other gynecologicals,
G02CB,Prolactine inhibitors,
G02CB02,Lisuride,
G02CX,Other gynecologicals,
G02CX01,Atosiban,
G03,Sex hormones and modulators of the genital system,
G03A,Hormonal contraceptives for systemic use,
G03AA,Progestogens and estrogens,
G03AA14,Nomegestrol and estrogen,
G03AC,Progestogens,
G03AC08,Etonogestrel,
G03B,Androgens,
G03BA,3-oxoandrosten (4) derivatives,
G03BA03,Testosterone,
G03F,Progestogens and estrogens in combination,
G03FA,Progestogens and estrogens,
G03FA01,Norethisterone and estrogen,
G03G,Gonadotropins and other ovulation stimulants,
G03GA,Gonadotropins,
G03GA01,Chorionic gonadotrophin,
G03GA05,Follitropin alfa,
G03GA06,Follitropin beta,
G03GA07,Lutropin alfa,
G03GA09,Corifollitropin alfa,
G03X,Other sex hormones and modulators of the genital system,
G03XB,Antiprogestogens,
G03XB01,Mifepristone,
G03XC,Selective estrogen receptor modulators,
G03XC01,Raloxifene,
G03XC02,Bazedoxifene,
G03XC03,Lasofoxifene,
G04,Urologicals,
G04B,Other urologicals,
G04BD,Urinary antispasmodics,
